Classified,GrndTruth,pop,w,lon,lat
21,-1,1128.120985958725214,12347318.034947827458382,113.438725398554027,-7.777371698233425
30,-1,2413.409064756706357,7866868.857934198342264,111.446482699914952,-7.866655248071070
23,-1,1584.610000478103757,2479676.959248160477728,110.327142310880390,-7.955946157647422
21,-1,371.648489968851209,4067703.872163775842637,116.243319091941373,-8.370029926377672
11,-1,0.000000000000000,0.000000000000000,120.109963903249579,-20.007570969736758
13,-1,666.596091940999031,2635064.350384148303419,120.780714137319592,-23.359744065395972
11,-1,0.000000000000000,0.000000000000000,132.416705424802302,-12.709340711866881
11,-1,0.000000000000000,0.000000000000000,123.321397570220441,-18.535869554112182
11,-1,0.000000000000000,0.000000000000000,126.782678155913743,-24.137732488185279
11,-1,0.000000000000000,0.000000000000000,132.169484426098165,-19.908194742299777
13,-1,607.759541749954224,2402482.584930695127696,147.925671279984556,-8.597441183879393
11,-1,0.000000000000000,0.000000000000000,147.788294706399711,-8.898029285917300
11,-1,0.000000000000000,0.000000000000000,142.760300494681132,-15.057051900911846
30,-1,164.191402465105057,535206.505045379744843,-79.438111740030152,9.028042411856756
30,-1,5257.331608533859253,17137060.977757394313812,-82.420710767730114,8.410635311087052
11,-1,0.000000000000000,0.000000000000000,-71.364880272624120,8.784282309186230
12,-1,90.116793887689710,2778414.302717772312462,-80.336812443727936,-1.192965689741601
12,-1,60.148381143808365,1854450.377623853040859,-75.016788316618687,6.503803623391005
30,-1,9024.314637148752809,29416107.206981934607029,-76.525949658156563,3.361169386362452
12,-1,96.639384666457772,2979513.994891572743654,-76.696084987546215,2.681440675786107
11,-1,0.000000000000000,0.000000000000000,-72.470472569271067,2.325452366639518
11,-1,0.000000000000000,0.000000000000000,-65.723812617558863,0.917966622045082
13,-1,111.681102037429810,441477.071570490603335,-79.879833499090452,-3.110297953013414
12,-1,109.394202906638384,3372761.112307323608547,-79.680424558632325,-3.879177776883404
30,-1,9115.175673894584179,29712282.385410483926535,-79.871224787232080,-6.763276180703626
11,-1,0.000000000000000,0.000000000000000,-75.108015601908662,-4.453986404776336
11,-1,0.000000000000000,0.000000000000000,-62.490112956190451,5.596039924564816
11,-1,0.000000000000000,0.000000000000000,-56.114923777125618,2.171741088516990
11,-1,0.000000000000000,0.000000000000000,-62.041123479404632,-6.195746405742292
11,-1,0.000000000000000,0.000000000000000,-49.735600655687243,-2.972733121568548
21,-1,531.704030106135178,5819516.560632552951574,-50.077012429727496,-6.066058899606058
11,-1,0.000000000000000,0.000000000000000,-46.852349735838935,-5.863445987723342
30,-1,996.901913315057755,3249551.321737428195775,-38.509330509735364,-3.717287851953127
12,-1,53.897003939375281,1661712.541675903368741,-42.273070418476330,-4.259666757421555
13,-1,640.633049204945564,2532432.053002887871116,-44.836791154504674,-5.142365884238838
13,-1,561.012638412415981,2217691.374833856709301,-6.669899910736740,8.898029285917300
11,-1,1.513741768896580,928990.158115917583928,-12.960181547306307,8.776158038249172
12,-1,114.927454888820648,3543358.242815500125289,-11.049239416004838,8.703042655097361
12,-1,385.886624813079834,11897370.860134515911341,-11.046129928683007,7.947828495856877
22,-1,2492.718262083828449,2378290.030262870248407,-5.683980312062459,6.357872981494137
12,-1,57.280709400773048,1766036.444519677897915,-4.548244647283450,5.587937452918159
13,-1,304.105574637651443,1202133.898126255720854,3.840869186252275,8.215744175842081
12,-1,147.122687925584614,4535977.843332559801638,2.379635153084315,6.657859135392429
23,-1,1926.709526441991329,3015011.402452750131488,2.760124944224694,6.584883190363419
12,-1,57.646319597959518,1777308.667567785363644,4.699077072439005,8.833029367888193
23,-1,5396.646432131528854,8444942.169321022927761,14.183872053189681,8.670548686641453
13,-1,380.061688661575317,1502389.556204537162557,4.160339330406516,7.923475879036237
12,-1,228.304895639419556,7038927.596731809899211,4.116303416324406,7.266157995627292
